person_id,position,years,team,p_era,p_whip,p_k9,p_bb9,p_k_bb,p_avg_game_score,p_qs_rate,p_war_162
alcant000san,SP,8,FLA,3.649,1.175,7.792,2.762,2.821,55.243,0.562,4.062
assad-000jav,SP,4,CHC,3.426,1.329,7.369,3.698,1.993,51.537,0.241,2.612
bassit000chr,SP,9,OAK,3.637,1.236,8.559,2.832,3.022,53.745,0.490,2.750
berrio000jos,SP,10,MIN,4.083,1.239,8.481,2.709,3.131,52.729,0.509,2.097
boyd--000mat,SP,10,DET,4.410,1.259,8.750,2.759,3.171,51.246,0.401,2.362
brown-009ben,RP,2,CHC,5.122,1.318,10.299,2.839,3.627,48.739,0.217,-0.777
burnes000cor,SP,8,MIL,3.152,1.070,10.357,2.603,3.979,59.208,0.611,3.608
castil013lui,SP,9,CIN,3.554,1.177,9.525,2.890,3.296,55.630,0.556,3.615
cease-000dyl,SP,7,CHW,3.882,1.265,10.912,3.812,2.863,54.271,0.367,3.022
darvis001yu-,SP,10,SDP,3.819,1.112,10.185,2.519,4.043,56.056,0.514,3.336
degrom001jac,SP,10,NYM,2.562,0.969,11.187,1.966,5.689,62.515,0.668,6.392
diaz--004edw,RP,9,NYM,2.825,1.036,14.540,3.154,4.610,0.000,0.000,1.810
duran-000jho,RP,4,MIN,2.442,1.089,11.288,2.654,4.253,0.000,0.000,2.264
eovald001nat,SP,9,BOS,3.772,1.166,8.644,2.209,3.914,54.042,0.440,3.220
flaher000jac,SP,9,STL,3.797,1.198,10.266,3.189,3.219,54.647,0.413,2.496
fried-001max,SP,9,ATL,3.034,1.152,8.769,2.476,3.542,56.557,0.557,4.858
fulmer002mic,RP,8,DET,3.946,1.264,7.654,2.887,2.651,51.533,0.478,2.433
gausma001kev,SP,10,TOR,3.748,1.233,9.419,2.501,3.767,54.204,0.529,3.084
gibson002kyl,SP,10,MIN,4.646,1.394,7.674,3.233,2.374,49.200,0.443,1.269
giolit000luc,SP,9,CHW,4.303,1.258,9.306,3.425,2.717,52.922,0.490,2.388
glasno000tyl,SP,10,TBD,3.736,1.147,11.363,3.462,3.283,56.711,0.422,2.483
gray--001son,SP,10,CIN,3.822,1.219,9.498,2.952,3.218,53.973,0.465,3.100
hader-000jos,RP,9,MIL,2.635,0.937,14.563,3.478,4.187,0.000,0.000,2.161
heaney001and,SP,10,ANA,4.645,1.284,9.506,2.731,3.480,51.043,0.308,1.060
hendri001kyl,SP,10,CHC,3.837,1.198,7.026,2.116,3.321,52.379,0.496,2.543
hill--002ric,SP,10,LAD,3.735,1.216,9.265,3.127,2.962,53.614,0.335,2.192
horton000cad,SP,1,CHC,2.669,1.085,7.398,2.517,2.939,55.773,0.227,2.962
imanag000sho,SP,2,CHC,3.283,1.006,8.236,1.528,5.389,56.759,0.574,2.827
jansen001ken,RP,10,LAD,2.743,0.976,11.493,2.666,4.310,0.000,0.000,1.687
keller000mit,SP,7,PIT,4.510,1.382,8.580,3.065,2.799,49.871,0.405,1.567
kersha001cla,SP,10,LAD,2.669,0.998,9.446,1.786,5.287,59.861,0.603,4.865
kimbre001cra,RP,10,BOS,3.289,1.088,13.671,4.107,3.329,0.000,0.000,1.283
lugo--000jac,RP,10,NYM,3.489,1.173,8.647,2.502,3.457,53.195,0.528,2.468
maeda-001ken,SP,9,LAD,4.196,1.174,9.623,2.600,3.702,52.709,0.314,1.112
manaea000sea,SP,10,OAK,4.084,1.202,8.559,2.508,3.412,52.457,0.452,2.183
matz--001ste,SP,10,NYM,4.265,1.311,8.418,2.611,3.224,50.229,0.367,1.544
miley-001wad,SP,10,MIL,4.213,1.388,7.025,3.415,2.057,49.831,0.371,1.974
morton001cha,SP,10,ATL,3.866,1.249,10.248,3.427,2.991,54.250,0.437,2.593
paddac000chr,SP,7,MIN,4.642,1.215,8.185,1.950,4.198,50.155,0.291,1.023
pivett000nic,SP,9,BOS,4.474,1.267,9.877,3.173,3.112,51.766,0.354,2.268
pomera001tho,RP,7,BOS,3.694,1.327,9.915,3.753,2.642,51.432,0.379,2.095
quinta001jos,SP,10,CHC,3.916,1.285,8.057,2.962,2.720,52.092,0.441,2.486
robert009dav,RP,9,PHI,2.961,1.147,11.639,3.825,3.043,53.000,0.000,1.771
rodon-000car,SP,10,CHW,3.733,1.191,10.003,3.198,3.128,55.236,0.488,3.445
rodrig006edu,SP,9,BOS,4.222,1.334,9.122,3.180,2.868,51.453,0.402,2.472
sale--001chr,SP,9,BOS,3.081,1.026,11.753,2.039,5.765,60.602,0.571,5.558
scherz001max,SP,10,WSN,2.980,0.997,11.390,2.143,5.315,61.412,0.642,6.130
severi000lui,SP,9,NYY,3.984,1.213,9.065,2.701,3.356,52.989,0.443,2.354
snell-000bla,SP,10,TBD,3.148,1.219,11.192,4.049,2.764,56.779,0.423,3.835
soroka000mic,SP,6,ATL,3.854,1.222,8.206,3.031,2.707,51.913,0.391,2.941
steele000jus,SP,5,CHC,3.304,1.214,9.184,2.753,3.335,54.264,0.451,2.773
stroma001mar,SP,9,TOR,3.843,1.300,7.397,2.808,2.634,51.654,0.485,2.624
taillo001jam,SP,9,PIT,3.871,1.193,7.807,2.139,3.650,52.619,0.462,2.340
valdez005fra,SP,8,HOU,3.365,1.204,8.770,3.240,2.707,56.560,0.633,3.629
verlan001jus,SP,9,HOU,3.041,1.035,9.950,2.237,4.448,59.658,0.658,5.456
wacha-001mic,SP,10,STL,4.075,1.299,7.797,2.776,2.809,51.583,0.400,2.004
walker001tai,SP,10,ARI,4.187,1.306,7.547,3.172,2.379,50.751,0.347,1.710
wheele001zac,SP,9,PHI,3.237,1.097,9.661,2.277,4.244,58.124,0.632,5.437
